raw_text_examples,normalized_suggestion,occurrences,example_recipe_ids,notes
"پنیر رنده شده (اختیاری)","پنیر رنده شده (اختیاری)","2","66;111",""
"فلفل سیاه آسیاب‌شده، به میزان لازم","فلفل سیاه آسیاب‌شده","2","1385;712",""
"برگ ریحان","برگ ریحان","2","76;272",""
"50 گرم ژامبون مرغ، خرد شده | ژامبون مرغ ۳۰۰ گرم خرد شده","ژامبون مرغ خرد شده","2","79;262",""
"۲۰۰ گرم تربچه | تربچه","تربچه","2","1389;1394",""
"۳ عدد نان باگت | ۱ عدد نان باگت","نان باگت","2","1389;745",""
"میگوی پخته","میگوی پخته","2","728;718",""
"انگور درشت","انگور درشت","2","728;718",""
"۱ پیمانه لوبیا چیتی | لوبیا چیتی","لوبیا چیتی","2","888;220",""
"شالوت ریز خردشده | شالوت، ریز خردشده","شالوت ریز خردشده","2","1212;1188",""
"یک قاشق چایخوری سرکه | یک قاشق مرباخوری سرکه","یک سرکه","2","425;223",""
"2 فنجان پیاز خرد شده","فنجان پیاز خرد شده","2","198;31",""
"1 قاشق چای‌خوری رزماری","قاشق چای‌خوری رزماری","2","198;31",""
"۳۰۰ گرم لوبیا چشم‌بلبلی | لوبیا چشم‌بلبلی","لوبیا چشم‌بلبلی","2","1393;1433",""
"¼ فلفل دلمه‌ای قرمز، ریز خردشده | ¼ پیمانه فلفل دلمه‌ای قرمز، ریز خردشده","¼ فلفل دلمه‌ای قرمز ریز خردشده","2","1393;1038",""
"¼ فلفل دلمه‌ای سبز، ریز خردشده | ¼ پیمانه فلفل دلمه‌ای سبز، ریز خردشده","¼ فلفل دلمه‌ای سبز ریز خردشده","2","1393;1038",""
"۳۵۰ گرم بروکلی | 500 گرم بروکلی","بروکلی","2","54;205",""
"۱ قاشق غذاخوری روغن زیتون (برای سالاد)","روغن زیتون (برای سالاد)","2","886;969",""
"آب جوشیده - ۱ پیمانه | ۳ پیمانه آب جوشیده","آب جوشیده","2","458;170",""
"۲ و نیم پیمانه آب | ۳ و نیم پیمانه آب","و نیم آب","2","577;1243",""
"گوجه‌فرنگی: ۲ عدد | گوجه‌فرنگی: ۶ عدد","گوجه‌فرنگی:","2","93;95",""
"۳ عدد گوجه‌فرنگی، پوست‌کنده و خردشده | ۴۰۰ گرم گوجه‌فرنگی پوست‌کنده و خردشده","گوجه‌فرنگی پوست‌کنده و خردشده","2","1391;692",""
"۱ پنس شکر","پنس شکر","2","1391;672",""
"۲ قوطی تن ماهی، آبکش‌شده | ۱ قوطی تن ماهی، آبکش‌شده","قوطی تن ماهی آبکش‌شده","2","1400;696",""
"1 عدد فلفل دلمه‌ای قرمز، خرد شده | 1 عدد فلفل دلمه‌ای قرمز خرد شده","فلفل دلمه‌ای قرمز خرد شده","2","71;102",""
"گوجه‌فرنگی پوست‌کنده و خرد شده | ۳ عدد گوجه‌فرنگی، پوست‌کنده و خرد شده","گوجه‌فرنگی پوست‌کنده و خرد شده","2","96;355",""
"۲۰۰ گرم پنیر گودا و موزارلا، رنده شده","پنیر گودا و موزارلا رنده شده","2","96;264",""
"۱ عدد تره‌فرنگی، ریز خردشده | ۱ پیمانه تره‌فرنگی، ریز خردشده","تره‌فرنگی ریز خردشده","2","1202;749",""
"۱/۲ پیمانه سس سویا | ۱/۴ پیمانه سس سویا","/ سس سویا","2","1390;1490",""
"برگ مو یا برگ کلم","برگ مو یا برگ کلم","2","487;477",""
"۱ قوطی ذرت شیرین، آبکش‌شده","قوطی ذرت شیرین آبکش‌شده","2","1398;624",""
"جعفری خرد شده برای تزئین | جعفری خرد شده، برای تزئین","جعفری خرد شده برای تزئین","2","74;210",""
"جعفری خردشده برای تزیین (اختیاری)","جعفری خردشده  (اختیاری)","2","592;800",""
"۳۵۰ گرم نخودفرنگی تازه","نخودفرنگی تازه","2","593;602",""
"۸ تا ۱۰ عدد کدو سبز متوسط","تا کدو سبز متوسط","2","1378;1435",""
"۲ عدد پیازچه، نازک خردشده | ۴ عدد پیازچه، نازک خردشده","پیازچه نازک خردشده","2","1373;674",""
"قارچ ورقه‌شده","قارچ ه‌شده","2","935;726",""
"آب گوشت یا مرغ - 6 پیمانه | آب گوشت یا مرغ 1 لیتر","آب گوشت یا مرغ","2","525;527",""
"یک بسته پنیر پیتزا","یک پنیر پیتزا","2","89;257",""
"دو عدد کدوی سبز متوسط","دو کدوی سبز متوسط","2","89;257",""
"یک حبه سیر، خرد شده | یک حبه سیر خرد شده","یک سیر خرد شده","2","89;144",""
"۲ قاشق چای‌خوری جعفری خردشده","قاشق چای‌خوری جعفری خردشده","2","1169;930",""
"۱۰ گرم جو پرک | ۱ پیمانه جو پرک","جو پرک","2","566;614",""
"۲ عدد هویج بزرگ | هویج – ۱ عدد بزرگ","هویج بزرگ","2","566;1047",""
"۴ حبه سیر، ریزشده | سیر – ۲ حبه، ریزشده","سیر ریزشده","2","518;1381",""
"۲ عدد پیازچه، خردشده (برای تزیین) | پیازچه خردشده (برای تزیین)","پیازچه خردشده ()","2","619;983",""
"۳ تا ۴ قاشق غذاخوری پیاز سرخ‌کرده","تا پیاز سرخ‌کرده","2","313;142",""
"۲ قاشق چای‌خوری روغن گردو","قاشق چای‌خوری روغن گردو","2","50;218",""
"۴ قاشق چای‌خوری روغن آفتابگردان","قاشق چای‌خوری روغن آفتابگردان","2","50;218",""
"۱ فنجان گردو","فنجان گردو","2","50;218",""
"کره، به مقدار لازم برای چرب کردن | کره – به مقدار لازم برای چرب کردن","کره  برای چرب کردن","2","1344;1381",""
"پیاز خرد شده - 2 عدد متوسط | پیاز خرد شده - 1 عدد متوسط","پیاز خرد شده متوسط","2","146;45",""
"پودر سماق - به میزان لازم | پودر سماق","پودر سماق","2","146;853",""
"کنجد برشته به مقدار لازم | کنجد برشته به میزان لازم","کنجد برشته","2","149;1261",""
"نخودفرنگی سبز به مقدار لازم | نخودفرنگی سبز – ۲۰۰ گرم","نخودفرنگی سبز","2","628;1229",""
"آب: 8 پیمانه | آب: به مقدار لازم","آب:","2","101;1442",""
"پنیر پیتزا: 50 گرم | پنیر پیتزا: ۱۰۰ گرم","پنیر پیتزا:","2","101;112",""
"۳ لیوان برنج نیم پز | ۴ پیمانه برنج نیم پز","برنج نیم پز","2","153;287",""
"۱.۵ لیتر آبِ مرغ | ۱.۵ پیمانه آبِ مرغ",". آبِ مرغ","2","578;1085",""
"250 گرم قارچ تفت‌داده‌شده | ۲۵۰ گرم قارچ، تفت‌داده‌شده","قارچ تفت‌داده‌شده","2","1153;695",""
"۱ عدد فلفل دلمه‌ای، خلالی نازک","فلفل دلمه‌ای خلالی نازک","2","1143;1319",""
"½ پیمانه خامه","½ خامه","2","632;1124",""
"1 عدد فلفل دلمه‌ای زرد | فلفل دلمه‌ای زرد","فلفل دلمه‌ای زرد","2","162;235",""
"2 قاشق غذاخوری زعفران آب‌کرده | زعفران، آب‌کرده","زعفران آب‌کرده","2","162;293",""
"شراب سفید خشک | ۱ پیمانه شراب سفید خشک","شراب سفید خشک","2","1188;1467",""
"یک بسته ماکارونی شکل دار","یک ماکارونی شکل دار","2","41;223",""
"کمی جوز هندی رنده‌شده | جوز هندی رنده‌شده، به مقدار لازم","جوز هندی رنده‌شده","2","692;693",""
"۲۲۵ گرم عدس، شسته‌شده | ۱ پیمانه عدس، شسته‌شده","عدس شسته‌شده","2","598;617",""
"۲ قاشق غذاخوری جعفری خردشده (برای تزیین) | ۳۵۰ گرم جعفری خردشده (برای تزیین)","جعفری خردشده ()","2","1330;846",""
"سیب‌زمینی نگینی | ۳۵۰ گرم سیب‌زمینی، نگینی","سیب‌زمینی نگینی","2","616;603",""
"۳ قاشق غذاخوری پیاز کاراملی‌شده","پیاز کاراملی‌شده","2","644;646",""
"300 گرم اسفناج، شسته و خرد شده | ۷۰۰ گرم اسفناج، شسته و خرد شده","اسفناج شسته و خرد شده","2","480;286",""
"۴ تا ۵ قاشق غذاخوری روغن مایع | ۱ تا ۲ قاشق غذاخوری روغن مایع","تا روغن مایع","2","893;83",""
"۱/۲ قاشق چای‌خوری زنجبیل آسیاب‌شده","/ قاشق چای‌خوری زنجبیل آسیاب‌شده","2","893;660",""
"سس سفید یا قرمز","سس سفید یا قرمز","2","111;280",""
"۱ کیلوگرم گوشت بره","کیلو گوشت بره","2","406;600",""
"۴ قاشق غذاخوری شوید تازه یا خشک | شوید تازه یا خشک","شوید تازه یا خشک","2","1118;589",""
"۱۵۰ گرم عدس پخته | ۴۰۰ گرم عدس پخته","عدس پخته","2","1411;420",""
"1/2 قاشق چای‌خوری پودر فلفل قرمز","/2 قاشق چای‌خوری پودر فلفل قرمز","2","168;338",""
"1/2 قاشق چای‌خوری پودر کاری","/2 قاشق چای‌خوری پودر کاری","2","168;338",""
"1 سفیده تخم‌مرغ، زده شده","سفیده تخم‌مرغ زده شده","2","168;338",""
"2 تخم‌مرغ، زده شده","تخم‌مرغ زده شده","2","168;338",""
"1/4 فنجان روغن بادام زمینی","/4 فنجان روغن بادام زمینی","2","168;338",""
"1 قاشق چای‌خوری پودر فلفل سیاه یا قرمز","قاشق چای‌خوری پودر فلفل سیاه یا قرمز","2","168;338",""
"2 و 1/4 فنجان برنج پخته","و 1/4 فنجان برنج پخته","2","168;338",""
"1 پیاز خام | ۱ پیاز خام","پیاز خام","2","183;353",""
"ادویه پلویی; به میزان لازم | ادویه پلویی به میزان لازم","ادویه پلویی","2","123;292",""
"۴ عدد گوجه‌فرنگی بزرگ | ۱ عدد گوجه‌فرنگی بزرگ","گوجه‌فرنگی بزرگ","2","184;966",""
"خیار حلقه‌شده","خیار حلقه‌شده","2","763;726",""
"۱/۳ پیمانه کشمش","/ کشمش","2","485;1427",""
"1 کیلوگرم گوجه‌فرنگی | ۳ کیلوگرم گوجه‌فرنگی","کیلو گوجه‌فرنگی","2","399;142",""
"۱ قاشق غذاخوری سرکه بالزامیک | سرکه بالزامیک - ۱ قاشق چایخوری","سرکه بالزامیک","2","675;271",""
"۱ عدد فلفل دلمه‌ای قرمز، نواری خردشده","فلفل دلمه‌ای قرمز نواری خردشده","2","836;826",""
"یک‌چهارم قاشق چای‌خوری زردچوبه","یک‌چهارم قاشق چای‌خوری زردچوبه","2","957;363",""
"¼ پیمانه پیاز ریز خردشده | ¼ پیمانه پیاز، ریز خردشده","¼ پیاز ریز خردشده","2","670;1038",""
"۵۰۰ گرم اسفناج تازه یا منجمد | اسفناج تازه یا منجمد","اسفناج تازه یا منجمد","2","1447;786",""
"۲ عدد بادمجان، مکعبی خردشده | ۱ عدد بادمجان، مکعبی خردشده","بادمجان مکعبی خردشده","2","1085;1450",""
"دو فنجان برنج","دو فنجان برنج","2","411;175",""
"۲ قاشق غذاخوری روغن حیوانی (گی) یا روغن مایع | ۴ قاشق غذاخوری روغن حیوانی (گی) یا روغن مایع","روغن حیوانی (گی) یا روغن مایع","2","1489;1474",""
"زردچوبه، نوک قاشق | زردچوبه – نوک قاشق","زردچوبه نوک قاشق","2","777;1292",""
"۲ قاشق غذاخوری ماست چکیده | ماست چکیده","ماست چکیده","2","825;730",""
"۳ عدد پیاز، رنده‌شده و آب‌گرفته | ۱ عدد پیاز، رنده‌شده و آب‌گرفته","پیاز رنده‌شده و آب‌گرفته","2","988;965",""
"پودر لیموعمانی، به مقدار لازم | ۱ قاشق غذاخوری پودر لیموعمانی","پودر لیموعمانی","2","1084;1111",""
"¼ پیمانه ریحان تازه خردشده | ¼ لیوان ریحان تازه خردشده","¼ ریحان تازه خردشده","2","1451;91",""
"۱ قاشق چای‌خوری آرد ذرت | 1 قاشق چای‌خوری آرد ذرت","قاشق چای‌خوری آرد ذرت","2","200;33",""
"نیم لیوان گشنیز تازه، خرد شده | نیم پیمانه گشنیز تازه خرد شده","نیم گشنیز تازه خرد شده","2","203;534",""
"1/2 پیمانه روغن","/2 روغن","2","206;39",""
"2 فنجان خامه سنگین | ۱ فنجان خامه سنگین","فنجان خامه سنگین","2","210;268",""
"۱۰۰ گرم پنیر موزارلا، رنده یا خردشده | پنیر موزارلا، رنده یا خردشده","پنیر موزارلا رنده یا خردشده","2","1285;768",""
"۱ قاشق چای‌خوری خمیرمایه خشک فعال","قاشق چای‌خوری خمیرمایه خشک فعال","2","1251;1464",""
"۲ عدد فلفل سبز، ریز خردشده","فلفل سبز ریز خردشده","2","1502;1486",""
"۵۰۰ گرم آرد سفید همه‌منظوره","آرد سفید همه‌منظوره","2","1464;739",""
"نیم قاشق چایخوری زردچوبه","نیم زردچوبه","2","349;498",""
"120 میلی‌لیتر شیر ولرم | ۲۷۵ میلی‌لیتر شیر ولرم","میلی‌ شیر ولرم","2","1261;739",""
"۲ عدد فلفل سبز، از طول شکافته","فلفل سبز از طول شکافته","2","1474;1500",""
"۱/۲ قاشق چای‌خوری جوز هندی","/ قاشق چای‌خوری جوز هندی","2","795;1034",""
"شیر – ۱/۲ پیمانه | شیر - ۳/۴ پیمانه","شیر /","2","1247;271",""
"لازانیا: 1000 گرم | لازانیا: ۱۰۰۰ گرم","لازانیا:","2","110;279",""
"پنیر گرویر: 150 گرم | پنیر گرویر: ۱۵۰ گرم","پنیر گرویر:","2","110;279",""
"بلدرچین کامل، تمیز شده | ۱۲۰۰ گرم بلدرچین کامل، تمیز شده","بلدرچین کامل تمیز شده","2","864;1016",""
"2 قاشق سوپ‌خوری کره","قاشق سوپ‌خوری کره","2","225;26",""
"۲ عدد گوجه‌فرنگی چهار قاچ شده | ۲ عدد گوجه‌فرنگی، چهار قاچ شده","گوجه‌فرنگی چهار قاچ شده","2","118;287",""
"۱ کیلوگرم کاهو خرد شده","کیلو کاهو خرد شده","2","118;287",""
"۱ عدد فلفل دلمه‌ای بزرگ","فلفل دلمه‌ای بزرگ","2","231;966",""
"تخم‌مرغ آب‌پز حلقه‌شده | ۲ عدد تخم‌مرغ آب‌پز، حلقه‌شده","تخم‌مرغ آب‌پز حلقه‌شده","2","726;587",""
"ریحان","ریحان","2","251;781",""
"۱ قاشق غذاخوری خردل دیژون | خردل دیژون","خردل دیژون","2","1258;757",""
"10 عدد زیتون بدون هسته | ۱۰ عدد زیتون بدون هسته","زیتون بدون هسته","2","272;104",""
"۱/۲ پیمانه هویج خرد شده | ۱/۲ پیمانه هویج، خرد شده","/ هویج خرد شده","2","499;389",""
"1 عدد فلفل دلمه ای قرمز | ۱ عدد فلفل دلمه ای قرمز","فلفل دلمه ای قرمز","2","270;48",""
"یک چهارم پیمانه روغن زیتون","یک چهارم روغن زیتون","2","270;102",""
"یک چهارم پیمانه سرکه سفید","یک چهارم سرکه سفید","2","270;102",""
"یک چهارم پیمانه ریحان تازه","یک چهارم ریحان تازه","2","270;102",""
"375 گرم ماکارونی باریک یا اسپاگتی","ماکارونی باریک یا اسپاگتی","2","270;102",""
"یک دوم پیمانه زیتون سیاه بدون هسته","یک دوم زیتون سیاه بدون هسته","2","270;102",""
"۱ قوطی (حدود ۴۰۰ گرم) گوجه‌فرنگی خردشده","قوطی (حدود ) گوجه‌فرنگی خردشده","2","1057;1467",""
"کشمش طلایی | ۱۰۰ گرم کشمش طلایی","کشمش طلایی","2","293;366",""
"یک قاشق چای‌خوری نمک","یک قاشق چای‌خوری نمک","2","37;32",""
"بادمجان خرد شده - 1 عدد | 1 عدد بادمجان خرد شده","بادمجان خرد شده","2","40;68",""
"فلفل سبز خرد شده - 1 عدد | 1 عدد فلفل سبز خرد شده","فلفل سبز خرد شده","2","40;68",""
"۱/۳ قاشق چای‌خوری زعفران آسیاب شده | ۱/۲ قاشق چای‌خوری زعفران آسیاب شده","/ قاشق چای‌خوری زعفران آسیاب شده","2","388;173",""
"۶ قاشق غذاخوری شوید تازه خرد شده | شوید تازه، خرد شده، برای تزیین","شوید تازه خرد شده","2","173;510",""
"نخود خیس‌خورده و چرخ‌شده – ۵۰۰ گرم","نخود خیس‌خورده و چرخ‌شده","1","1023",""
"فلفل دلمه‌ای چرخ‌شده و کاملاً آب‌گرفته – ۵۰۰ گرم","فلفل دلمه‌ای چرخ‌شده و کاملاً آب‌گرفته","1","1023",""
"پیاز کوچک چرخ‌شده و آب‌گرفته – ۱ عدد","پیاز کوچک چرخ‌شده و آب‌گرفته","1","1023",""
"سیب‌زمینی کوچک چرخ‌شده و آب‌گرفته – ۱ عدد","سیب‌زمینی کوچک چرخ‌شده و آب‌گرفته","1","1023",""
"بلغورگندم (یارما); 1 پیمانه","بلغورگندم (یارما)","1","307",""
"رب‌گوجه‌فرنگی; 1 قاشق غذاخوری","رب‌گوجه‌فرنگی","1","307",""
"نان","نان","1","181",""
"۹۰۰ گرم گوشت چرخ‌کرده گوساله کم‌چرب","گوشت چرخ‌کرده گوساله کم‌چرب","1","963",""
"۲۳۰ گرم سوسیس دودی چرخ‌کرده","سوسیس دودی چرخ‌کرده","1","963",""
"۸۵ گرم پنیر پارمزان، برش‌خورده به قطعات ۲.۵ × ۰.۵ سانتی‌متری","پنیر پارمزان برش‌خورده به قطعات . × . سانتی‌متری","1","963",""
"۳ تا ۴ قاشق چای‌خوری فلفل دلمه‌ای قرمز کبابی، خردشده به قطعات ۲.۵ سانتی‌متری","تا قاشق چای‌خوری فلفل دلمه‌ای قرمز کبابی خردشده به قطعات . سانتی‌متری","1","963",""
"برگ کاهو به مقدار لازم برای سرو","برگ کاهو  برای سرو","1","963",""
"۱/۲ پیمانه لپه زرد","/ لپه زرد","1","1024",""
"۱/۴ پیمانه نعناع تازه، خردشده","/ نعناع تازه خردشده","1","1024",""
"۴ تا ۵ پیمانه آبِ گوشت یا آبِ سبزیجات","تا آبِ گوشت یا آبِ سبزیجات","1","1024",""
"4.5 قاشق غذاخوری رب گوجه‌فرنگی، تقسیم‌شده","رب گوجه‌فرنگی تقسیم‌شده","1","1032",""
"3 قاشق چای‌خوری نمک، تقسیم‌شده","قاشق چای‌خوری نمک تقسیم‌شده","1","1032",""
"1 قاشق چای‌خوری پول بیبر یا فلفل قرمز پرک","قاشق چای‌خوری پول بیبر یا فلفل قرمز پرک","1","1032",""
"0.5 پیمانه بلغور","بلغور","1","1032",""
"1.5 تا 3 پیمانه آب","تا 3 آب","1","1032",""
"¼ قاشق چای‌خوری سس فلفل تند","¼ قاشق چای‌خوری سس فلفل تند","1","962",""
"½ پیمانه آب","½ آب","1","962",""
"۱ فنجان لوبیا قرمز","فنجان لوبیا قرمز","1","182",""
"۱/۲ پیاز بزرگ، خرد شده","/ پیاز بزرگ خرد شده","1","182",""
"۱۶۰ گرم سوسیس دودی","سوسیس دودی","1","182",""
"۳.۵ فنجان آب",". فنجان آب","1","182",""
"۱ فنجان بزرگ برنج پخته","فنجان بزرگ برنج پخته","1","182",""
"۳ عدد سیب‌زمینی متوسط، پوست‌کنده و ورقه‌ای نازک","سیب‌زمینی متوسط پوست‌کنده و ورقه‌ای نازک","1","783",""
"۱.۵ پیمانه آب مرغ",". آب مرغ","1","314",""
"نصف فلفل دلمه‌ای سبز، خرد شده","نصف فلفل دلمه‌ای سبز خرد شده","1","314",""
"۱ عدد فلفل تازه، خرد شده","فلفل تازه خرد شده","1","314",""
"نصف پیمانه گشنیز تازه، خرد شده","نصف گشنیز تازه خرد شده","1","314",""
"۴ پیمانه کلم سفید، ریز خردشده","کلم سفید ریز خردشده","1","1460",""
"⅔ پیمانه پیازچه، ریز خردشده","⅔ پیازچه ریز خردشده","1","1460",""
"½ پیمانه سس مایونز","½ سس مایونز","1","1460",""
"½ پیمانه ریحان تازه، ساطوری‌شده","½ ریحان تازه ساطوری‌شده","1","958",""
"گوجه‌فرنگی، در صورت تمایل برای سرو","گوجه‌فرنگی در صورت تمایل برای سرو","1","958",""
"۲۲۵ گرم گوشت خردشده","گوشت خردشده","1","784",""
"۴۵۰ گرم برگ اسفناج تازه، شسته و خردشده","برگ اسفناج تازه شسته و خردشده","1","1462",""
"۵ برش کالباس باکیفیت","برش کالباس باکیفیت","1","1462",""
"نوک قاشق چای‌خوری جوز هندی","نوک قاشق چای‌خوری جوز هندی","1","1462",""
"۱ پیمانه سویا دانه‌ریز","سویا دانه‌ریز","1","1035",""
"۱ لیوان کوچک هویج رنده‌شده","کوچک هویج رنده‌شده","1","1035",""
"½ پیمانه روغن، برای سرخ کردن","½ روغن برای سرخ کردن","1","1035",""
"۷۰۰ گرم مرغ، خردشده به اندازه سرو","مرغ خردشده به اندازه سرو","1","1361",""
"۱۵۰ گرم آلو خشک (حدود ۱ پیمانه)","گرم آلو خشک (حدود )","1","1361",""
"۳ تا ۴ قاشق غذاخوری لپه","تا لپه","1","1361",""
"۱ قاشق چای‌خوری زعفران ساییده و دم‌کرده","قاشق چای‌خوری زعفران ساییده و دم‌کرده","1","1361",""
"۱ پیمانه آرد نخودچی درشت","آرد نخودچی درشت","1","1037",""
"نمک، فلفل و ادویه مخلوط به میزان لازم","نمک فلفل و ادویه مخلوط","1","1037",""
"۱ پیمانه آب تمرهندی","آب تمرهندی","1","1037",""
"نمک و فلفل به میزان لازم (برای سس)","نمک و فلفل  (برای سس)","1","1037",""
"۱ عدد فلفل دلمه‌ای رنده‌شده","فلفل دلمه‌ای رنده‌شده","1","1037",""
"۲ برش نان بیات، بدون پوسته","برش نان بیات بدون پوسته","1","1040",""
"۲٫۵ قاشق چای‌خوری نمک","٫ قاشق چای‌خوری نمک","1","1040",""
"¼ پیمانه شیر","¼ شیر","1","1040",""
"۱٫۵ پیمانه آب","٫ آب","1","1040",""
"یک فنجان شیر","یک فنجان شیر","1","322",""
"پنجاه گرم کره","پنجاه کره","1","322",""
"یک قاشق چای‌خوری زعفران","یک قاشق چای‌خوری زعفران","1","322",""
"یک قاشق غذاخوری گلاب","یک گلاب","1","322",""
"پنجاه گرم پسته خلال‌شده","پنجاه پسته خلال‌شده","1","322",""
"پنجاه گرم بادام خلال‌شده","پنجاه بادام خلال‌شده","1","322",""
"۱ و نیم پیمانه برنج پخته (برای داخل کوفته)","و نیم برنج پخته (برای داخل کوفته)","1","1041",""
"۱ پیمانه برنج پخته (برای خورش)","برنج پخته (برای خورش)","1","1041",""
"نصف پیمانه روغن مایع","نصف روغن مایع","1","1041",""
"نصف پیمانه گردوی خرد و بو داده","نصف گردوی خرد و بو داده","1","1041",""
"۱/۴ پیمانه فلفل دلمه‌ای، ریز خردشده","/ فلفل دلمه‌ای ریز خردشده","1","788",""
"پیازچه تازه یا چایوز، ریز خردشده","پیازچه تازه یا چایوز ریز خردشده","1","788",""
"۱ قالب (۴۰۰ گرم) توفوی سفت، مکعبی خردشده","قالب ( ) توفوی سفت مکعبی خردشده","1","1478",""
"۲۰۰ گرم گوشت چرخ‌کرده خوک یا گوساله (اختیاری)","گوشت چرخ‌کرده خوک یا گوساله (اختیاری)","1","1478",""
"۲ قاشق غذاخوری دوبانجیانگ (خمیر لوبیای تند تخمیرشده)","دوبانجیانگ (خمیر لوبیای تند تخمیرشده)","1","1478",""
"۱ قاشق غذاخوری دوچی (لوبیای سیاه تخمیرشده)، شسته و ریز خردشده","دوچی (لوبیای سیاه تخمیرشده) شسته و ریز خردشده","1","1478",""
"۱ تکه زنجبیل تازه به اندازه ۲٫۵ سانتی‌متر، ریز خردشده","تکه زنجبیل تازه به اندازه ٫ سانتی‌متر ریز خردشده","1","1478",""
"۱ قاشق چای‌خوری فلفل سیچوان آسیاب‌شده","قاشق چای‌خوری فلفل سیچوان آسیاب‌شده","1","1478",""
"۱ قاشق غذاخوری نشاسته ذرت مخلوط با ۲ قاشق غذاخوری آب","نشاسته ذرت مخلوط با قاشق غذاخوری آب","1","1478",""
"۵۰۰ گرم گوشت کم‌چرب، خردشده","گوشت کم‌چرب خردشده","1","1043",""
"نصف قاشق چای‌خوری زعفران دم‌کرده با کمی آب گرم","نصف قاشق چای‌خوری زعفران دم‌کرده با  آب","1","1043",""
"هویج خلال شده ۳ تا ۴ عدد","هویج خلال شده تا","1","323",""
"کشمش پلویی ۱۰۰ گرم","کشمش پلویی","1","323",""
"پیاز داغ یک پیمانه","پیاز داغ یک","1","323",""
"زیره سبز","زیره سبز","1","323",""
"تخم گشنیز","تخم گشنیز","1","323",""
"سبزی تازه (اختیاری، برای تزیین)","سبزی تازه (اختیاری )","1","787",""
"۲ قاشق غذاخوری فلفل دلمه‌ای رنگارنگ خرد شده","فلفل دلمه‌ای رنگارنگ خرد شده","1","325",""
"۱ پیمانه اورَد دال (لوبیای سیاه پوست‌کنده)","اورَد دال (لوبیای سیاه پوست‌کنده)","1","1479",""
"۱/۲ قاشق چای‌خوری دانه شنبلیله","/ قاشق چای‌خوری دانه شنبلیله","1","1479",""
"روغن یا گی، برای پخت","روغن یا گی برای پخت","1","1479",""
"۱ پنس نعناع خشک","پنس نعناع خشک","1","780",""
"گشنیز تازه خردشده برای روی املت","گشنیز تازه خردشده برای روی املت","1","780",""
"۱۲ عدد گوجه‌فرنگی، حلقه‌شده","گوجه‌فرنگی حلقه‌شده","1","790",""
"۲ قاشق غذاخوری پنیر موزارلای رنده‌شده (اختیاری)","پنیر موزارلای رنده‌شده (اختیاری)","1","790",""
"۱ و ۱/۲ قاشق چای‌خوری ریحان تازه، خرد شده یا ۱/۲ قاشق چای‌خوری ریحان خشک","و / قاشق چای‌خوری ریحان تازه خرد شده یا / قاشق چای‌خوری ریحان خشک","1","42",""
"۸ عدد نودل لازانیا، خشک","نودل لازانیا خشک","1","42",""
"۳/۴ پیمانه پنیر سفید کم چرب یا بدون چربی","/ پنیر سفید کم چرب یا بدون چربی","1","42",""
"۱/۲ پیمانه پنیر موزارلا رنده شده","/ پنیر موزارلا رنده شده","1","42",""
"۲ قاشق غذاخوری پنیر پارمسان رنده شده یا پودر شده","پنیر پارمسان رنده شده یا پودر شده","1","42",""
"۲ قاشق چای‌خوری ریحان تازه، خرد شده یا ۱/۲ قاشق چای‌خوری چاشنی ایتالیایی","قاشق چای‌خوری ریحان تازه خرد شده یا / قاشق چای‌خوری چاشنی ایتالیایی","1","42",""
"۳ عدد سیب‌زمینی متوسط، رنده‌شده و آب‌گرفته","سیب‌زمینی متوسط رنده‌شده و آب‌گرفته","1","1045",""
"۱ پیمانه آبغوره (یا آب‌انگور ترش)","آبغوره (یا آب‌انگور ترش)","1","1045",""
"¼ پیمانه جعفری، ریز خردشده","¼ جعفری ریز خردشده","1","791",""
"۱ قوطی تُن ماهی، آبکش و ریش‌ریش‌شده","قوطی تُن ماهی آبکش و ریش‌ریش‌شده","1","791",""
"۳۰۰ گرم سیب‌زمینی پخته","سیب‌زمینی پخته","1","1046",""
"۱۵۰ گرم سبزی تازه خردشده (گشنیز و جعفری)","سبزی تازه خردشده (گشنیز و جعفری)","1","1046",""
"۳ عدد تخم‌مرغ پخته","تخم‌مرغ پخته","1","1046",""
"۱ عدد تخم‌مرغ خام (برای رومال)","تخم‌مرغ خام (برای رومال)","1","1046",""
"۲۳۰ گرم گوشت خوک چرخ‌کرده","گوشت خوک چرخ‌کرده","1","1484",""
"۱۱۵ گرم میگو، بسیار ریز خردشده","میگو بسیار ریز خردشده","1","1484",""
"۱ پیمانه کلم ناپا، ریز خردشده","کلم ناپا ریز خردشده","1","1484",""
"۱ قاشق غذاخوری زنجبیل تازه، رنده یا ریز خردشده","زنجبیل تازه رنده یا ریز خردشده","1","1484",""
"۱ عدد پیاز، رنده ریز و آب‌گرفته","پیاز رنده ریز و آب‌گرفته","1","1051",""
"یک‌چهارم پیمانه جعفری تازه، ریز خردشده","یک‌چهارم جعفری تازه ریز خردشده","1","1051",""
"نصف قاشق چای‌خوری زیره آسیاب‌شده","نصف قاشق چای‌خوری زیره آسیاب‌شده","1","1051",""
"یک‌چهارم قاشق چای‌خوری دارچین","یک‌چهارم قاشق چای‌خوری دارچین","1","1051",""
"۲ قاشق غذاخوری روغن مایع (برای سرخ‌کردن)","روغن مایع (برای سرخ‌کردن)","1","1051",""
